date,name,area,department,label,url,content
2015-02-27 00:00:00,《关于2015年直购电试点工作有关事项的通知》,四川,四川省经济和信息化委员会 四川省发展和改革委员会 国家能源局四川监管办公室 四川能源局,电力交易 直购电,http://www.neijiang.gov.cn/service/show/1103758,《关于2015年直购电试点工作有关事项的通知》四川省经济和信息化委员会 四川省发展和改革委员会 国家能源局四川监管办公室 四川能源局电力交易 直购电
2015-03-24 00:00:00,《四川省2014直购电挂牌交易细则》,四川,国家能源局四川监管办公室,电力交易 直购电,http://scb.nea.gov.cn/index.php?do=show&id=124,《四川省2014直购电挂牌交易细则》国家能源局四川监管办公室电力交易 直购电
2015-03-24 00:00:00,《四川省电力用户与发电企业直接交易规则(试行)》,四川,国家能源局四川监管办公室,电力交易 直接交易,http://scb.nea.gov.cn/index.php?do=show&id=121,《四川省电力用户与发电企业直接交易规则(试行)》国家能源局四川监管办公室电力交易 直接交易
2016-01-04 00:00:00,《关于调整四川电网丰枯峰谷电价政策有关事项的通知》,四川,四川省发展和改革委员会,电价相关 丰枯价 峰谷价,http://www.mep.gov.cn/gzfw_13107/zcfg/hjjzc/gjfbdjjzc/lsjgzc1/201606/t20160623_355820.shtml,《关于调整四川电网丰枯峰谷电价政策有关事项的通知》四川省发展和改革委员会电价相关 丰枯价 峰谷价
2016-08-31 00:00:00,《四川省电力体制改革综合试点方案》,四川,国家发展改革委 国家能源局,电力市场建设 体制改革,http://www.nea.gov.cn/2016-09/07/c_135668641.htm,《四川省电力体制改革综合试点方案》国家发展改革委 国家能源局电力市场建设 体制改革
2017-01-20 00:00:00,《四川电力市场交易基本规则(征求意见稿)》,四川,国家能源局四川监管办公室,电力交易 中长期交易,http://www.sgcio.com/news/sgcio/2017/0306/14483.html,《四川电力市场交易基本规则(征求意见稿)》国家能源局四川监管办公室电力交易 中长期交易
2017-03-21 00:00:00,《关于开展2017年直购电双边交易的公告》,四川,四川电力交易中心有限公司,电力交易 直购电 双边交易,http://shoudian.bjx.com.cn/news/20170322/815934.shtml,《关于开展2017年直购电双边交易的公告》四川电力交易中心有限公司电力交易 直购电 双边交易
2017-04-26 00:00:00,《关于开展2017年度直购电平台复式撮合交易的公告》,四川,四川电力交易中心有限公司,电力交易 直购电 复式撮合交易,http://shoudian.bjx.com.cn/html/20170428/822809.shtml,《关于开展2017年度直购电平台复式撮合交易的公告》四川电力交易中心有限公司电力交易 直购电 复式撮合交易
2017-05-12 00:00:00,《2017年度推进电力价格改革十项措施》,四川,四川省发展和改革委员会 四川省经济和信息化委员会 四川省财政厅 国家能源局四川监管办公室 四川能源局,电价改革,http://www.china-nengyuan.com/news/108457.html,《2017年度推进电力价格改革十项措施》四川省发展和改革委员会 四川省经济和信息化委员会 四川省财政厅 国家能源局四川监管办公室 四川能源局电价改革
2017-05-17 00:00:00,《关于开展2017年直购电月度及富余电量交易申报工作的公告》,四川,四川电力交易中心有限公司,电力交易 直购电 月度交易 富余电量交易,http://qbj.gov.cn/qbj/443820/457011/443875/1691395/index.html,《关于开展2017年直购电月度及富余电量交易申报工作的公告》四川电力交易中心有限公司电力交易 直购电 月度交易 富余电量交易
2017-05-31 00:00:00,《四川暂定煤改电等电能替代电价有关事项的通知》,四川,四川省发展和改革委员会,电能替代 煤改电,http://shoudian.bjx.com.cn/news/20170605/829101.shtml,《四川暂定煤改电等电能替代电价有关事项的通知》四川省发展和改革委员会电能替代 煤改电
2017-06-12 00:00:00,《四川省售电公司注册办事指南（暂行）》,四川,四川省能源局,售电公司,http://shoudian.bjx.com.cn/news/20170628/833738.shtml,《四川省售电公司注册办事指南（暂行）》四川省能源局售电公司
2017-06-26 00:00:00,《2017年四川电力交易指导意见》,四川,国家能源局四川监管办公室 四川经济和信息化委员会,电力交易,http://scb.nea.gov.cn/index.php?do=show&id=1122,《2017年四川电力交易指导意见》国家能源局四川监管办公室 四川经济和信息化委员会电力交易
